timestamp,sensor_0,sensor_1,sensor_2
0.000000,0.876649,0.628187,-0.818419
0.005000,-1.375107,2.163698,2.859382
0.010000,-0.353495,-1.063635,0.174894
0.015000,0.136623,1.067443,-0.974546
0.020000,-2.245813,-0.208172,0.518796
0.025000,1.577564,-0.388241,-1.691961
0.030000,-1.116938,-0.299492,2.789191
0.035000,0.241011,-0.602845,1.069215
0.040000,-1.468240,1.645898,0.071398
0.045000,0.242972,1.224827,-0.442673
0.050000,0.600707,-1.933477,-1.897045
0.055000,-0.192044,-2.001077,-0.245084
0.060000,0.017642,-0.794117,0.148314
0.065000,-0.227024,0.145999,1.871239
0.070000,-0.160856,0.146994,0.071040
0.075000,0.293620,2.352718,-1.045963
0.080000,1.142280,-0.003301,0.039308
0.085000,0.566299,-0.441972,-1.293219
0.090000,0.452505,1.132619,1.252015
0.095000,-2.083305,0.727266,0.860017
0.100000,0.284266,-0.729442,0.730233
0.105000,0.128705,0.469596,-0.607616
0.110000,-1.311000,1.302171,1.075183
0.115000,0.203079,-0.843032,-0.255473
0.120000,-0.683681,-1.117502,1.313081
0.125000,-0.469566,1.304789,-0.501115
0.130000,0.363857,1.272939,0.643575
0.135000,-0.769723,-1.090297,0.513935
0.140000,0.799929,-1.352643,-1.250667
0.145000,-1.240976,1.366690,0.268940
0.150000,1.330366,0.218118,-0.832778
0.155000,-1.307271,0.223234,-1.103110
0.160000,0.547208,1.098487,2.348229
0.165000,1.554521,2.645668,0.251408
0.170000,-1.233260,0.447124,-1.252640
0.175000,1.255720,0.475658,0.932909
0.180000,0.366991,-0.436127,-1.171106
0.185000,0.598683,-1.238312,-1.179687
0.190000,0.309264,0.754856,-2.371353
0.195000,-1.757575,2.617218,-0.719118
0.200000,1.572556,-2.385407,1.511672
0.205000,1.560530,0.086570,-0.061348
0.210000,0.406530,-1.804587,1.395414
0.215000,0.678002,-1.082248,-0.839559
0.220000,0.259377,-2.327370,1.596329
0.225000,2.034865,0.773292,-1.229508
0.230000,0.215166,-0.562730,0.661807
0.235000,-1.361947,0.482610,0.228313
0.240000,0.690089,-0.008210,-0.701146
0.245000,-1.844064,-0.228403,1.043450
0.250000,-1.958961,-1.114973,-0.012172
0.255000,0.861690,0.966954,-1.373483
0.260000,1.262446,2.000842,-1.027653
0.265000,0.724045,0.493964,0.733406
0.270000,0.250535,0.410834,0.057190
0.275000,-0.143508,0.395414,-1.499587
0.280000,-0.283503,-0.011362,-0.258120
0.285000,1.055831,0.260372,-0.412908
0.290000,-0.422040,-0.513989,-0.479343
0.295000,-2.857199,-0.583526,0.767416
0.300000,0.502969,-1.167978,0.313960
0.305000,1.008279,1.057833,-0.332567
0.310000,0.713657,-2.420276,1.175706
0.315000,-0.058551,-0.623889,-1.076009
0.320000,0.956748,0.398943,-0.705293
0.325000,-0.574608,-0.251305,-0.436950
0.330000,-0.134965,-2.553635,2.059957
0.335000,-2.542661,-0.726446,1.566808
0.340000,0.312166,-0.014433,-1.155712
0.345000,0.721023,0.193070,0.218175
0.350000,0.018408,-0.991334,-1.313481
0.355000,0.777431,-0.703654,0.396988
0.360000,1.309243,1.315590,0.276277
0.365000,-0.037855,0.625365,-0.981103
0.370000,-1.961451,0.269516,-1.951118
0.375000,1.386409,-0.609672,0.566429
0.380000,0.256784,-0.316689,-0.740097
0.385000,1.876736,0.862936,1.133456
0.390000,0.427646,0.257129,0.193460
0.395000,-2.360503,0.773986,-1.735299
0.400000,0.989665,1.469541,0.707268
0.405000,0.783050,1.058648,0.082383
0.410000,0.925309,-1.181958,-0.395882
0.415000,0.512533,-1.147382,-1.673516
0.420000,-0.220552,-0.556001,0.872494
0.425000,0.698644,1.370921,0.048667
0.430000,-1.545503,0.009858,0.640368
0.435000,0.353269,0.035303,0.894434
0.440000,-0.133284,0.470382,-0.156202
0.445000,0.163334,2.158876,2.365604
0.450000,-0.373124,-1.664252,-0.236776
0.455000,-0.104485,-2.227879,-2.535801
0.460000,1.023234,0.273491,-0.199412
0.465000,0.039796,-2.132770,1.938722
0.470000,1.259976,1.207783,-0.136108
0.475000,-0.530031,-1.030348,-0.641730
0.480000,0.149348,-0.206934,-0.007009
0.485000,0.717808,0.708625,2.054792
0.490000,0.008224,-1.368027,0.412710
0.495000,-1.284530,0.377219,1.208466
0.500000,-1.169084,0.049936,0.739960
0.505000,0.408255,-0.110733,0.102659
0.510000,0.050006,0.271788,0.609175
0.515000,0.336573,0.647876,-0.695516
0.520000,-0.766969,-0.413243,-1.746486
0.525000,-0.386627,1.080328,2.335543
0.530000,2.189681,0.307941,-0.294227
0.535000,-0.937107,0.827196,-0.253852
0.540000,0.086587,0.986625,-0.445213
0.545000,-0.539204,2.141396,-0.358713
0.550000,0.548791,-0.078174,-0.250778
0.555000,-0.548061,1.454249,0.463125
0.560000,0.649038,-1.290674,-2.005699
0.565000,-0.381889,-0.376398,2.498340
0.570000,0.588642,-1.141325,-0.496154
0.575000,1.212899,1.551633,-1.785882
0.580000,0.823326,-0.108838,-0.805808
0.585000,-1.624088,1.418296,0.196248
0.590000,0.153691,-0.065297,0.183736
0.595000,-1.002516,0.523936,0.078824
0.600000,0.060138,-0.525266,-1.395903
0.605000,1.152702,-0.462649,0.708332
0.610000,1.231101,-1.270850,1.036315
0.615000,0.266706,-0.806313,-0.210067
0.620000,0.001398,0.305801,1.160224
0.625000,-0.471937,-0.601251,0.878614
0.630000,-0.087023,-0.178900,0.057057
0.635000,-0.951267,1.164362,-0.869741
0.640000,-0.832325,0.012603,-1.242614
0.645000,-0.000653,0.488932,0.221295
0.650000,-1.269965,-0.821915,-0.156050
0.655000,-0.306137,-1.191198,-0.511340
0.660000,0.677107,0.693161,-2.129091
0.665000,0.182074,2.079649,-0.773710
0.670000,-0.036897,0.520845,-0.719220
0.675000,-0.381492,-0.075542,-0.291857
0.680000,0.367520,-0.220073,-0.597749
0.685000,-1.928037,1.486111,1.639487
0.690000,0.343991,-1.248960,-0.037125
0.695000,-0.673466,0.845086,-0.323873
0.700000,0.583458,1.654938,-0.377964
0.705000,0.628822,1.204680,0.812614
0.710000,-0.796318,-1.023702,0.140820
0.715000,0.661574,0.503373,-1.068985
0.720000,0.185739,0.427624,0.200934
0.725000,2.070020,-1.662268,0.384658
0.730000,-2.395611,-0.178676,-1.137899
0.735000,0.868063,0.193706,-0.718971
0.740000,-0.986290,0.506188,0.231719
0.745000,0.850811,-0.603642,1.723837
0.750000,-1.328203,0.769851,0.741287
0.755000,-2.750263,-1.032060,-0.565236
0.760000,-0.358676,-0.309925,2.808424
0.765000,0.739706,1.636565,-0.166282
0.770000,-2.165615,-1.394602,0.558030
0.775000,1.116206,1.123681,-0.481645
0.780000,2.697227,-1.143187,-1.076708
0.785000,2.274221,0.244424,-0.696278
0.790000,-2.086352,-1.222834,-0.536735
0.795000,0.895748,-1.489703,-0.766314
0.800000,-0.095755,-0.518056,-0.845789
0.805000,0.006903,1.062928,0.417893
0.810000,0.399636,0.665090,0.411934
0.815000,-0.887101,-1.611735,-1.297712
0.820000,-0.204142,0.543788,0.802748
0.825000,1.218966,1.143894,-0.298870
0.830000,0.707423,-2.518200,-2.633403
0.835000,1.200680,-0.870766,0.255530
0.840000,1.265069,1.862630,-0.580176
0.845000,1.532456,-2.149037,1.177660
0.850000,-1.058190,-0.411232,-0.202641
0.855000,-0.243678,0.525180,-1.156462
0.860000,0.642945,-1.577054,0.536462
0.865000,0.505229,1.186804,0.578331
0.870000,1.244565,0.988901,-1.309696
0.875000,-0.993418,-2.277523,0.050033
0.880000,1.009364,-0.109783,0.926238
0.885000,0.147831,1.263055,1.913862
0.890000,-1.380004,-0.567744,-1.371772
0.895000,-0.508594,0.219867,0.570434
0.900000,-1.121741,-0.439255,-0.815671
0.905000,-0.028562,1.535494,1.102336
0.910000,0.012940,1.261389,-0.203654
0.915000,0.099947,-0.520266,0.255259
0.920000,-1.167507,-1.964249,0.077147
0.925000,-0.994607,-1.123137,1.118818
0.930000,-0.092232,1.468030,0.691839
0.935000,-0.021886,-1.796112,0.937706
0.940000,-1.910157,1.816639,0.390834
0.945000,-0.111785,1.217296,-0.007117
0.950000,-0.174732,-0.400215,0.439357
0.955000,-0.420608,-0.839948,-0.828128
0.960000,1.275338,-0.196517,-0.568296
0.965000,1.312853,0.159602,0.000585
0.970000,-1.330747,-1.127463,-0.991918
0.975000,-1.127963,-1.255632,-0.102613
0.980000,0.112091,-1.500732,-0.265869
0.985000,-0.454784,0.993442,1.407105
0.990000,-1.248597,0.160930,1.574497
0.995000,1.409749,0.032756,0.078807
1.000000,0.182245,1.576237,-0.739087
1.005000,-0.507081,1.374646,0.468704
1.010000,0.087827,-0.963596,1.013247
1.015000,-0.286734,0.140366,0.460273
1.020000,1.549751,0.508362,-1.651997
1.025000,2.964047,1.182061,-0.222222
1.030000,0.937577,-0.384784,0.587736
1.035000,0.083720,0.167393,-0.202451
1.040000,-0.220710,-1.029485,1.092743
1.045000,0.882730,1.729187,2.377866
1.050000,0.672478,-1.247296,-0.885882
1.055000,-1.601963,-1.211386,2.039533
1.060000,-0.935865,1.392897,-0.939860
1.065000,1.250448,0.254261,-0.107830
1.070000,-0.057410,-1.193075,1.271837
1.075000,-2.187806,0.919281,-1.061309
1.080000,0.164980,1.133426,1.162747
1.085000,0.193385,0.034746,-0.498687
1.090000,-0.407001,0.188079,1.944264
1.095000,-1.203694,0.240305,-1.105195
1.100000,0.730354,0.008088,0.852628
1.105000,0.614689,0.305061,-0.216233
1.110000,0.524770,1.247219,-0.354820
1.115000,-0.412573,-1.314330,-0.261854
1.120000,-1.257610,-0.261344,1.928121
1.125000,1.238126,-0.624882,1.785100
1.130000,-0.976971,-0.365611,1.703497
1.135000,-0.716062,1.169541,0.193923
1.140000,1.068401,-0.399598,1.787692
1.145000,1.683036,0.450731,-0.599814
1.150000,0.828169,-0.302739,-1.059546
1.155000,1.351711,-1.509625,1.794809
1.160000,-0.428722,-0.645583,0.174776
1.165000,-1.065992,-1.088150,0.429181
1.170000,-0.249485,-2.161471,-1.001029
1.175000,0.140842,-3.202711,-0.012699
1.180000,0.912507,-0.190526,-0.929982
1.185000,0.910853,1.383485,1.545175
1.190000,-0.135309,-0.781213,0.287510
1.195000,-0.376292,-0.823751,-0.637499
1.200000,0.419928,0.651242,-0.884537
1.205000,0.648268,0.915989,0.944778
